Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0210580748414876,0.00207440239951867,0.0661360300196389,0,0,0,6.41366184598262,0.0682915404686814,1.65600536965895E-17,1.18462098502104E-18,0.104448333749456,1.15253850503895E-08,0.156283019646088,0,0,0,0,0,0,package://scout_robot_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/base_link.STL,,cover-1;body-1;front_left_leg-1/ak70-10.stp-4;front_left_leg-1/bracket_3-1;front_right_leg-1/ak70-10.stp-4;front_right_leg-1/bracket_3-1;front_right_leg-2/ak70-10.stp-4;front_left_leg-2/ak70-10.stp-4;front_right_leg-2/bracket_3-1;front_left_leg-2/bracket_3-1,Global Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_hip_link,-0.0136715815108775,-0.00161098936779762,-5.53579979546935E-05,0,0,0,0.299935158686972,0.000193007346965068,-4.83145045223389E-07,4.12208118983272E-07,0.000268683962581779,-3.64075905619963E-07,0.00018657323874084,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_hip_link.STL,,front_left_leg-1/ak70-10.stp-2;front_left_leg-1/bracket_2-1,front_left_hip_CS,front_left_hip_axis,front_left_hip_joint,revolute,0.28882,0.067155,0.0515,0,0,0,base_link,1,0,0,4,4,-1.04,1.04,,,,,,,,
front_left_upper_leg_link,-0.00181009683608957,-0.0204754274677028,-0.0466123528877474,0,0,0,0.790558612356665,0.00222924539321048,2.6609052113765E-06,-6.80725337803206E-05,0.00252347799404171,6.62069662557934E-05,0.000480463410180852,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_upper_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_upper_leg_link.STL,,front_left_leg-1/bracket_1-1;front_left_leg-1/Part2-1;front_left_leg-1/ak70-10.stp-1;front_left_leg-1/ArmBracketandBearingHolder_left-1,front_left_upper_leg_CS,front_left_upper_leg_axis,front_left_upper_leg_joint,revolute,-0.01,0.11015,0,0,0,0,front_left_hip_link,0,1,0,4,4,-1.57,2.59,,,,,,,,
front_left_lower_leg_link,-0.0121395770591203,1.44754320910156E-05,-0.0971781035069053,0,0,0,0.136777572247688,0.000580208345943688,8.95757271481114E-16,8.29184319492175E-06,0.000592884110471787,5.10359671002319E-15,1.60106073098899E-05,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_lower_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_lower_leg_link.STL,,front_left_leg-1/MirrorLegfirst_half-3;front_left_leg-1/Legfirst_half-2;front_left_leg-1/PossibleGears-4/3411-0014-0024 Body-1;front_left_leg-1/PossibleGears-4/3411-0014-0024 Ring-1;front_left_leg-1/PossibleGears-4/3411-0014-0024 Ring-2,front_left_lower_leg_CS,front_left_lower_leg_axis,front_left_lower_leg_joint,revolute,-0.0077812,0,-0.19985,0,0,0,front_left_upper_leg_link,0,-1,0,4,4,-2.9,1.57,,,,,,,,
front_left_foot_link,-0.00306014620163719,-9.22305698677905E-06,-0.00126595869841112,0,0,0,0.0554718524709599,1.77946603925049E-05,-3.52982815343748E-08,6.02886626053331E-06,2.13122742969903E-05,6.55398837654116E-08,2.06513838755981E-05,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://scout_robot_description/meshes/front_left_foot_link.STL,,front_left_leg-1/foot-1,front_left_foot_CS,front_left_foot_axis,front_left_foot_joint,fixed,-0.011199171847237,0,-0.209761807091393,0,0,0,front_left_lower_leg_link,0,0,0,,,,,,,,,,,,
rear_left_hip_link,0.0136715815108775,-0.00161098936779754,5.53579979545877E-05,0,0,0,0.299935158686972,0.000193007346965068,4.83145045223459E-07,4.12208118983296E-07,0.000268683962581779,3.64075905620102E-07,0.00018657323874084,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_hip_link.STL,,front_left_leg-2/ak70-10.stp-2;front_left_leg-2/bracket_2-1,rear_left_hip_CS,rear_hip_axis,rear_left_hip_joint,revolute,-0.330780215437656,0.0671546202239636,0.0514999999999987,0,0,0,base_link,-1,0,0,4,4,-1.04,1.04,,,,,,,,
rear_left_upper_leg_link,-0.00181009683608946,-0.0204754274677029,-0.0466123528877473,0,0,0,0.790558612356665,0.00222924539321048,2.66090521137638E-06,-6.80725337803169E-05,0.0025234779940417,6.62069662557913E-05,0.000480463410180852,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_upper_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_upper_leg_link.STL,,front_left_leg-2/bracket_1-1;front_left_leg-2/Part2-1;front_left_leg-2/ak70-10.stp-1;front_left_leg-2/ArmBracketandBearingHolder_left-1,rear_left_upper_leg_CS,rear_left_upper_leg_axis,rear_left_upper_leg_joint,revolute,0.01,0.11015,0,0,0,0,rear_left_hip_link,0,1,0,4,4,-1.57,2.59,,,,,,,,
rear_left_lower_leg_link,-0.0121395770591199,1.44754320908769E-05,-0.0971781035069055,0,0,0,0.136777572247688,0.000580208345943687,8.95756966801722E-16,8.29184319492286E-06,0.000592884110471786,5.10305552360493E-15,1.60106073098899E-05,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_lower_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_lower_leg_link.STL,,front_left_leg-2/MirrorLegfirst_half-3;front_left_leg-2/Legfirst_half-2;front_left_leg-2/PossibleGears-4/3411-0014-0024 Ring-2;front_left_leg-2/PossibleGears-4/3411-0014-0024 Body-1;front_left_leg-2/PossibleGears-4/3411-0014-0024 Ring-1,rear_left_lower_leg_CS,rear_left_lower_leg_axis,rear_left_lower_leg_joint,revolute,-0.0077812,0,-0.19985,0,0,0,rear_left_upper_leg_link,0,-1,0,4,4,-2.9,1.57,,,,,,,,
rear_left_foot_link,-0.00306014620163331,-9.2230569867513E-06,-0.00126595869841384,0,0,0,0.0554718524709602,1.7794660392505E-05,-3.52982815343514E-08,6.02886626053341E-06,2.13122742969906E-05,6.5539883765423E-08,2.06513838755982E-05,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://scout_robot_description/meshes/rear_left_foot_link.STL,,front_left_leg-2/foot-1,rear_left_foot_CS,rear_left_foot_axis,rear_left_foot_joint,fixed,-0.0111991718472406,0,-0.20976180709139,0,0,0,rear_left_lower_leg_link,0,0,0,,,,,,,,,,,,
front_right_hip_link,0.0525807769097344,0.00161098936779754,5.53579979545643E-05,0,0,0,0.299935158686972,0.000193007346965068,4.83145045223497E-07,-4.12208118983281E-07,0.000268683962581779,-3.64075905620148E-07,0.00018657323874084,0,0,0,0,0,0,package://scout_robot_description/meshes/front_right_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scout_robot_description/meshes/front_right_hip_link.STL,,front_right_leg-1/ak70-10.stp-2;front_right_leg-1/bracket_2-1,front_right_hip_CS,front_right_hip_axis,front_right_hip_joint,revolute,0.22257,-0.062845,0.0515,0,0,0,base_link,1,0,0,4,4,-1.04,1.04,,,,,,,,
